,Date,Investment,Transaction Type,Amount,Shares/Unit,InvestmentCode,Lookup_keys
71,2019-01-28,FID BALANCED,CONTRIBUTION,24.92,1.152,FBALX,2019-01-28 00:00:00FBALX
72,2019-01-28,FID 500 INDEX,CONTRIBUTION,72.0,0.784,FXAIX,2019-01-28 00:00:00FXAIX
73,2019-01-28,ABF LG CAP VAL INV,CONTRIBUTION,27.7,1.194,AAGPX,2019-01-28 00:00:00AAGPX
74,2019-01-11,OAKMARK FUND INV,CONTRIBUTION,152.3,2.102,OAKMX,2019-01-11 00:00:00OAKMX
75,2019-01-11,FID BALANCED,CONTRIBUTION,24.92,1.171,FBALX,2019-01-11 00:00:00FBALX
76,2019-01-11,FID 500 INDEX,CONTRIBUTION,72.0,0.798,FXAIX,2019-01-11 00:00:00FXAIX
77,2019-01-11,ABF LG CAP VAL INV,CONTRIBUTION,27.7,1.225,AAGPX,2019-01-11 00:00:00AAGPX
78,2018-12-28,OAKMARK FUND INV,CONTRIBUTION,152.3,2.248,OAKMX,2018-12-28 00:00:00OAKMX
79,2018-12-28,FID BALANCED,CONTRIBUTION,24.92,1.214,FBALX,2018-12-28 00:00:00FBALX
80,2018-12-28,FID 500 INDEX,DIVIDEND,1.07,0.012,FXAIX,2018-12-28 00:00:00FXAIX
81,2018-12-28,FID 500 INDEX,CONTRIBUTION,72.0,0.834,FXAIX,2018-12-28 00:00:00FXAIX
82,2018-12-28,ABF LG CAP VAL INV,CONTRIBUTION,27.7,1.302,AAGPX,2018-12-28 00:00:00AAGPX
83,2018-12-20,ABF LG CAP VAL INV,DIVIDEND,31.85,1.501,AAGPX,2018-12-20 00:00:00AAGPX
84,2018-12-18,J H TRITON T,DIVIDEND,57.6,2.266,JATTX,2018-12-18 00:00:00JATTX
85,2018-12-14,OAKMARK FUND INV,REALIZED G/L,-167.37,0.0,OAKMX,2018-12-14 00:00:00OAKMX
86,2018-12-14,OAKMARK FUND INV,Exchanges,-845.16,-12.0,OAKMX,2018-12-14 00:00:00OAKMX
87,2018-12-14,OAKMARK FUND INV,CONTRIBUTION,152.3,2.162,OAKMX,2018-12-14 00:00:00OAKMX
88,2018-12-14,J H TRITON T,Exchanges,845.16,30.314,JATTX,2018-12-14 00:00:00JATTX
89,2018-12-14,FID BALANCED,CONTRIBUTION,24.92,1.181,FBALX,2018-12-14 00:00:00FBALX
90,2018-12-14,FID 500 INDEX,DIVIDEND,8.04,0.089,FXAIX,2018-12-14 00:00:00FXAIX
91,2018-12-14,FID 500 INDEX,CONTRIBUTION,72.0,0.797,FXAIX,2018-12-14 00:00:00FXAIX
92,2018-12-14,ABF LG CAP VAL INV,CONTRIBUTION,27.7,1.122,AAGPX,2018-12-14 00:00:00AAGPX
93,2018-12-13,OAKMARK FUND INV,DIVIDEND,124.16,1.737,OAKMX,2018-12-13 00:00:00OAKMX
94,2018-12-07,FID BALANCED,DIVIDEND,4.7,0.221,FBALX,2018-12-07 00:00:00FBALX
95,2018-11-30,OAKMARK FUND INV,CONTRIBUTION,152.3,1.853,OAKMX,2018-11-30 00:00:00OAKMX
96,2018-11-30,FID BALANCED,CONTRIBUTION,24.92,1.117,FBALX,2018-11-30 00:00:00FBALX
97,2018-11-30,FID 500 INDEX,CONTRIBUTION,72.0,0.744,FXAIX,2018-11-30 00:00:00FXAIX
98,2018-11-30,ABF LG CAP VAL INV,CONTRIBUTION,27.7,1.038,AAGPX,2018-11-30 00:00:00AAGPX
99,2018-11-19,OAKMARK FUND INV,CONTRIBUTION,152.3,1.897,OAKMX,2018-11-19 00:00:00OAKMX
100,2018-11-19,FID BALANCED,CONTRIBUTION,24.92,1.14,FBALX,2018-11-19 00:00:00FBALX
101,2018-11-19,FID 500 INDEX,CONTRIBUTION,72.0,0.763,FXAIX,2018-11-19 00:00:00FXAIX
102,2018-11-19,ABF LG CAP VAL INV,CONTRIBUTION,27.7,1.051,AAGPX,2018-11-19 00:00:00AAGPX
103,2018-11-02,OAKMARK FUND INV,CONTRIBUTION,152.3,1.874,OAKMX,2018-11-02 00:00:00OAKMX
104,2018-11-02,FID BALANCED,CONTRIBUTION,24.92,1.122,FBALX,2018-11-02 00:00:00FBALX
105,2018-11-02,FID 500 INDEX,CONTRIBUTION,72.0,0.756,FXAIX,2018-11-02 00:00:00FXAIX
106,2018-11-02,ABF LG CAP VAL INV,CONTRIBUTION,27.7,1.046,AAGPX,2018-11-02 00:00:00AAGPX
107,2018-10-22,FID 500 INDEX,REALIZED G/L,-33.76,0.0,FXAIX,2018-10-22 00:00:00FXAIX
108,2018-10-22,FID 500 INDEX,Exchanges,-668.37,-6.934,FXAIX,2018-10-22 00:00:00FXAIX
109,2018-10-22,FID 500 INDEX,Exchanges,668.37,6.934,FXAIX,2018-10-22 00:00:00FXAIX
110,2018-10-19,OAKMARK FUND INV,CONTRIBUTION,152.3,1.817,OAKMX,2018-10-19 00:00:00OAKMX
111,2018-10-19,FID BALANCED,CONTRIBUTION,24.92,1.11,FBALX,2018-10-19 00:00:00FBALX
112,2018-10-19,FID 500 INDEX,CONTRIBUTION,72.0,0.744,FXAIX,2018-10-19 00:00:00FXAIX
113,2018-10-19,ABF LG CAP VAL INV,CONTRIBUTION,27.7,1.027,AAGPX,2018-10-19 00:00:00AAGPX
114,2018-10-12,FID BALANCED,DIVIDEND,15.13,0.671,FBALX,2018-10-12 00:00:00FBALX
115,2018-10-05,OAKMARK FUND INV,CONTRIBUTION,517.11,5.868,OAKMX,2018-10-05 00:00:00OAKMX
116,2018-10-05,FID BALANCED,CONTRIBUTION,84.62,3.387,FBALX,2018-10-05 00:00:00FBALX
117,2018-10-05,FID 500 INDEX,DIVIDEND,1.68,0.016,FXAIX,2018-10-05 00:00:00FXAIX
118,2018-10-05,FID 500 INDEX,CONTRIBUTION,244.45,2.424,FXAIX,2018-10-05 00:00:00FXAIX
119,2018-10-05,ABF LG CAP VAL INV,CONTRIBUTION,94.03,3.323,AAGPX,2018-10-05 00:00:00AAGPX
120,2018-09-21,OAKMARK FUND INV,CONTRIBUTION,660.0,7.313,OAKMX,2018-09-21 00:00:00OAKMX
121,2018-09-21,FID BALANCED,CONTRIBUTION,108.0,4.261,FBALX,2018-09-21 00:00:00FBALX
122,2018-09-21,FID 500 INDEX,CONTRIBUTION,312.0,3.035,FXAIX,2018-09-21 00:00:00FXAIX
123,2018-09-21,ABF LG CAP VAL INV,CONTRIBUTION,120.0,4.158,AAGPX,2018-09-21 00:00:00AAGPX
124,2018-09-07,OAKMARK FUND INV,CONTRIBUTION,152.3,1.736,OAKMX,2018-09-07 00:00:00OAKMX
125,2018-09-07,FID BALANCED,CONTRIBUTION,24.92,0.995,FBALX,2018-09-07 00:00:00FBALX
126,2018-09-07,FID 500 INDEX,CONTRIBUTION,72.0,0.715,FXAIX,2018-09-07 00:00:00FXAIX
127,2018-09-07,ABF LG CAP VAL INV,CONTRIBUTION,27.7,0.991,AAGPX,2018-09-07 00:00:00AAGPX
